No,Sumber,Akun / Media,Judul / Narasi,Label Manual,Label Otomatis
4073,Instagram,@cekfakta_id,Video Nadiem Makarim Mengatakan Anak Pejabat Bebas Tes Masuk PTN,1,
4074,WhatsApp,Forwarded,Bantuan Uang Tunai Subsidi Pendidikan Rp2 Juta dari Kemdikbud,1,
4075,Facebook,Kabar Guru,Sertifikasi Guru Wajib Menggunakan Materai 10.000 Mulai September,1,
4076,X (Twitter),@PolitikUpdate,Dana Pendidikan Indonesia Dialokasikan untuk Menutup Kerugian Saham BUMN,1,
4077,TikTok,@vlogger_politik,Anggaran Pendidikan Hilang Rp20 Triliun Akibat Salah Input Data Pusat,1,
4078,Instagram,@stophoax,Pesan Link Pendaftaran KIP Kuliah Jalur Mandiri dengan Biaya Admin,1,
4079,Tempo.co,@tempodotco,Kemendikbudristek Optimalkan Anggaran Lewat Platform Belanja Sekolah SIPLah,0,
4080,Media Indonesia,@mediaindonesia,Mendikbudristek: Asesmen Nasional Bukan Penentu Kelulusan Individu,0,
4081,YouTube,@infopendidikan,Cara Mengisi Dashboard Perencanaan Berbasis Data (PBD) untuk Sekolah,0,
4082,LinkedIn,Praktisi Edukasi,Penghematan Biaya Operasional Lewat Digitalisasi Laporan Keuangan,0,
4083,Antara News,@antaranews,Kemendiktisaintek: Riset Kedaireka Fokus pada Solusi Pangan dan Energi,0,
4084,Kompas.com,@kompascom,Nadiem Makarim: Kurikulum Merdeka Memberi Kebebasan Belajar bagi Guru,0,
4085,Detik.com,@detikcom,Pemerintah Salurkan Bantuan Rehab Sekolah di Wilayah Terpencil Papua,0,
4086,Republika,@republikaonline,Kemenkeu: Efisiensi Dana Pendidikan Lewat Satu Data Mencapai 14%,0,
4087,CNN Indonesia,@CNNIndonesia,Mendikbudristek Tegaskan Tidak Ada Penghapusan Mata Pelajaran Bahasa,0,
4088,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Belanja Pendidikan September Fokus pada Sarana Vokasi,0,
4089,WhatsApp,Grup Sekolah,Biaya Pendaftaran ANBK Mandiri Sebesar Rp200 Ribu per Siswa,1,
4090,Facebook,Viral News,Dana BOS Tidak Cair Bulan Ini Karena Dipakai Biaya Operasi Militer,1,
4091,X (Twitter),@LeakIndo,Terungkap: Dana Pendidikan Dipakai Membayar Sewa Kantor Mewah Pejabat,1,
4092,TikTok,@news_update,Bahaya! PTM Kembali Dibatalkan dan Sekolah Online Mulai 1 Oktober,1,
4093,Instagram,@fakta_edu,Mahasiswa KIP Kuliah Wajib Kerja Part-Time di Kantor Kampus Tanpa Gaji,1,
4094,YouTube,@berita_sekolah,Kemendikbud Resmi Ganti Seragam SMA Menjadi Baju Bebas Sopan,1,
4095,WhatsApp,Grup RT,Sekolah yang Siswanya Terlibat Tawuran Akan Dicabut Dana BOS-nya Total,1,
4096,Facebook,Info Cepat,Beasiswa S1 Singapura Resmi Ditutup Karena Anggaran Negara Dialihkan,1,
4097,X (Twitter),@Netizen_News,Skandal: Buku Pelajaran Sekolah Mengandung Kode Rahasia Situs Judi,1,
4098,TikTok,@berita_panas,Kabar Duka: Seluruh Tenaga Administrasi Honorer Diberhentikan Bulan Ini,1,
4099,Antara News,@antaranews,Kemendikbudristek Luncurkan Program Wirausaha Merdeka Batch 1,0,
4100,Kompas.com,@kompascom,Nadiem: Rapor Pendidikan Bantu Sekolah Temukan Akar Masalah Literasi,0,
4101,Detik.com,@detikcom,Kemendiktisaintek Klaim Efisiensi Anggaran Seminar Rp600 Miliar,0,
4102,Republika,@republikaonline,Kemendikbudristek Pantau Penggunaan Dana BOSP Lewat Dashboard Terpadu,0,
4103,Tempo.co,@tempodotco,Efisiensi Anggaran: Kemendikbud Pangkas Biaya Perjalanan Dinas 20%,0,
4104,Media Indonesia,@mediaindonesia,Mendikbudristek: Sekolah Harus Prioritaskan Pembelian Alat Kesehatan,0,
4105,CNBC Indonesia,@cnbcindonesia,Realisasi Belanja Fungsi Pendidikan Per September Mencapai Rp380 Triliun,0,
4106,YouTube,@pendidikankita,Inovasi Digital: Mengurangi Biaya Distribusi Soal Lewat Cloud System,0,
4107,Instagram,@kemdikbud.ri,Pengumuman: Sinkronisasi Dapodik untuk Tunjangan Profesi Semester 2,0,
4108,LinkedIn,Praktisi Edukasi,Dampak Positif Penggunaan SIPLah Dalam Transparansi Belanja Sekolah,0,
4109,Antara News,@antaranews,Kemendiktisaintek: Dana Padanan Riset Dukung Inovasi Hilirisasi Industri,0,
4110,Kompas.com,@kompascom,Nadiem Makarim: Digitalisasi Sekolah Membantu Personalisasi Belajar,0,
4111,Detik.com,@detikcom,Pemerintah Targetkan Semua Sekolah Memiliki Laboratorium Komputer 2024,0,
4112,Republika,@republikaonline,Kemendikbudristek Pangkas Birokrasi Laporan Dana BOS Lewat Digitalisasi,0,
4113,CNN Indonesia,@CNNIndonesia,Mendikbud: Lulusan SMK Harus Menguasai Teknologi Digital Terkini,0,
4114,Kompas.com,@kompascom,Kemendikbudristek Alokasikan Rp1 Triliun untuk Beasiswa Prestasi,0,
4115,Detik.com,@detikcom,Nadiem: Dana BOS Bisa Digunakan untuk Perbaikan Sanitasi Sekolah,0,
4116,Antara News,@antaranews,Pemerintah Prioritaskan Dana Pendidikan untuk Pengentasan Kemiskinan,0,
4117,CNN Indonesia,@CNNIndonesia,Audit BPK Temukan Efisiensi Pengadaan Buku Teks di Kemendikbudristek,0,
4118,Republika,@republikaonline,Kemendikbudristek Pantau Dana BOSP Melalui Dashboard Satu Data Online,0,
4119,Tempo.co,@tempodotco,"Kemendikbudristek Hemat Rp1,4 Triliun Lewat Sistem E-Procurement",0,
4120,Media Indonesia,@mediaindonesia,Mendikbudristek: Evaluasi Kurikulum Merdeka Melibatkan Praktisi Guru,0,
4121,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Belanja Pendidikan September Fokus pada Peningkatan Gaji PPPK,0,
4122,YouTube,@pendidikankita,Inovasi Digital Sekolah: Mengurangi Biaya Administrasi Perkantoran,0,
4123,Instagram,@kemdikbud.ri,Gunakan Akun Belajar.id untuk Akses Platform Merdeka Mengajar,0,
4124,LinkedIn,Praktisi Edukasi,Dampak Pengalihan Anggaran Seremonial ke Subsidi Riset Nasional,0,
4125,Antara News,@antaranews,Kemendiktisaintek: Skema Dana Padanan Riset Dorong Kolaborasi Industri,0,
4126,Kompas.com,@kompascom,Nadiem Makarim: Digitalisasi Sekolah Kunci Transparansi Anggaran Daerah,0,
4127,Detik.com,@detikcom,Pemerintah Targetkan 2 Juta Guru Memiliki Sertifikat Kompetensi Digital,0,
4128,Republika,@republikaonline,Kemendikbudristek Permudah Sertifikasi Guru Melalui Portal Digital,0,
4129,WhatsApp,Grup Guru,Guru Sertifikasi Wajib Membayar Pajak Profesi Rp200 Ribu per Bulan,1,
4130,Facebook,Info Beasiswa,Pendaftaran Kuliah Gratis di Swiss Tanpa Syarat Apapun Cair September,1,
4131,X (Twitter),@RumorKampus,Mahasiswa KIP Kuliah Wajib Memberi Bintang 5 pada Aplikasi Pemerintah,1,
4132,TikTok,@news_update,Bahaya! Alat ANBK Mengandung Radiasi yang Merusak Mata Anak,1,
4133,Instagram,@cekfakta_id,Sertifikat Juara Nasional Tidak Bisa Lagi Digunakan untuk Jalur Masuk PTN,1,
4134,WhatsApp,Grup Sekolah,Uang Iuran Keamanan Sekolah Naik 100% Karena Harga BBM Naik,1,
4135,Facebook,Kabar Viral,Pelajaran Seni Rupa Dihapuskan untuk Mengurangi Beban Belajar Siswa,1,
4136,X (Twitter),@AnonEdu,Dokumen Bocor: Dana Pendidikan Dipakai Membayar Jasa Influencer Asing,1,
4137,TikTok,@berita_edu,Seleksi PPPK Tahap 3 Resmi Ditiadakan Karena Anggaran Pendidikan Kosong,1,
4138,Instagram,@faktakita,Dana KIP Kuliah Hanya Cair Jika Mahasiswa Berstatus Single,1,
4139,Kompas.com,@kompascom,Kemendikbudristek Salurkan Dana Darurat untuk Sekolah Terdampak Banjir,0,
4140,Detik.com,@detikcom,Nadiem: Digitalisasi Pendidikan Percepat Penyaluran Tunjangan Sertifikasi,0,
4141,Antara News,@antaranews,Pemerintah Prioritaskan Dana Pendidikan di Wilayah Perbatasan Kalimantan,0,
4142,CNN Indonesia,@CNNIndonesia,Audit BPK: Penyerapan Anggaran Pelatihan Guru Capai 95 Persen Efektif,0,
4143,Republika,@republikaonline,Kemendikbudristek Pantau Dana BOSP Melalui Dashboard Satu Data Terpadu,0,
4144,Tempo.co,@tempodotco,Efisiensi Birokrasi: Penggabungan Unit Teknis Kemdikbud Hemat Miliaran,0,
4145,Media Indonesia,@mediaindonesia,Mendikbudristek: Sekolah Level 1 Boleh Jalankan PTM 100%,0,
4146,CNBC Indonesia,@cnbcindonesia,Realisasi Belanja Fungsi Pendidikan September Capai Target Kuartal III,0,
4147,YouTube,@kabarpendidikan,Tutorial Sinkronisasi Dapodik untuk Pencairan Tunjangan Triwulan 3,0,
4148,Instagram,@kemdikbud.ri,"Selamat! 1,6 Juta Mahasiswa Terdaftar sebagai Penerima UKT 2022",0,
4149,LinkedIn,Praktisi Edukasi,Dampak Pengalihan Anggaran Seminar ke Subsidi Kuota Internet Sekolah,0,
4150,Antara News,@antaranews,Kemendiktisaintek: Program Guru Penggerak Tingkatkan Kualitas Manajerial,0,
4151,Kompas.com,@kompascom,Pemerintah Beri Penghargaan bagi Sekolah dengan Transparansi Terbaik,0,
4152,Detik.com,@detikcom,Nadiem: Teknologi Adalah Kunci Efisiensi Anggaran Jangka Panjang,0,
4153,Republika,@republikaonline,Kemenkeu: Efisiensi Dana Pendidikan Capai 11 Persen Lewat Satu Data,0,
4154,CNN Indonesia,@CNNIndonesia,Nadiem: Dana BOS Bisa Digunakan untuk Upgrade Bandwidth Internet,0,
4155,Antara News,@antaranews,Kemendiktisaintek: Beasiswa LPDP 2022 Fokus pada Ekonomi Hijau,0,
4156,Kompas.com,@kompascom,Nadiem Makarim: Digitalisasi Sekolah Membantu Efisiensi Anggaran Pusat,0,
4157,Detik.com,@detikcom,Pemerintah Targetkan Semua Guru Memiliki Sertifikat Literasi Digital,0,
4158,Republika,@republikaonline,Kemendikbudristek Pangkas Birokrasi Laporan Lewat Portal ARKAS,0,
4159,WhatsApp,Forwarded,"Link Klaim Bantuan Biaya Sekolah Rp1,5 Juta per Anak klik bit.ly",1,
4160,Facebook,Suara Rakyat,Menteri Nadiem: Seluruh Guru Honorer Akan Diganti Teknologi AI,1,
4161,X (Twitter),@PolitikUpdate,Dana Publikasi Jurnal Dosen Digunakan Membayar Hutang Negara per September,1,
4162,TikTok,@vlogger_politik,Anggaran Pendidikan Kita Hilang Rp30 Triliun Bulan September Ini,1,
4163,Instagram,@stophoax,Berita Penghapusan Tunjangan Profesi Guru di RUU Sisdiknas Adalah Benar,1,
4164,WhatsApp,Grup Sekolah,Pendaftaran Ujian Perbaikan Sekolah Wajib Bayar Rp500 Ribu Ke Pusat,1,
4165,Facebook,Viral News,Dana BOS Tidak Cair Karena Anggaran Pendidikan Dipakai Bayar Bunga Hutang,1,
4166,X (Twitter),@Leak_Indo,Dana Pendidikan Dipakai Membeli Kendaraan Dinas Baru Untuk Pejabat,1,
4167,TikTok,@news_update,Bahaya! Tes ANBK Mengandung Unsur Hipnotis Untuk Anak-anak,1,
4168,Instagram,@fakta_edu,Mahasiswa Tanpa Booster Ke-2 Dilarang Masuk Lingkungan Kampus,1,
4169,Kompas.com,@kompascom,"Kemendiktisaintek Alokasikan Rp1,5 Triliun untuk Beasiswa 2022",0,
4170,Detik.com,@detikcom,Nadiem: Dana BOS Bisa Digunakan untuk Honor Operator Komputer,0,
4171,Antara News,@antaranews,Pemerintah Prioritaskan Dana Pendidikan Untuk Penuntasan Buta Aksara,0,
4172,CNN Indonesia,@CNNIndonesia,Audit BPK Temukan Efisiensi Pengadaan Alat Laboratorium Sekolah,0,
4173,Republika,@republikaonline,Kemendikbudristek Pantau Dana BOSP Melalui Dashboard Satu Data Digital,0,
4174,Tempo.co,@tempodotco,"Kemendikbudristek Hemat Rp1,3 Triliun Lewat E-Procurement Semester II",0,
4175,Media Indonesia,@mediaindonesia,Mendikbudristek: PTM 100 Persen Dilakukan Secara Bertanggung Jawab,0,
4176,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Belanja Pendidikan September Fokus pada Inovasi Digital,0,
4177,YouTube,@pendidikankita,Inovasi Digital: Mengurangi Biaya Pengadaan Alat Peraga Sekolah Menengah,0,
4178,Instagram,@kemdikbud.ri,"Selamat! 1,9 Juta Mahasiswa Terdaftar sebagai Penerima UKT September",0,
4179,LinkedIn,Analis Publik,Mengapa Digitalisasi Pendidikan Mengurangi Biaya Distribusi Logistik,0,
4180,Antara News,@antaranews,Kemendiktisaintek: Skema Dana Padanan Riset Dorong Inovasi Nasional,0,
4181,Kompas.com,@kompascom,Nadiem Makarim: Digitalisasi Sekolah Membantu Efisiensi Anggaran Daerah,0,
4182,Detik.com,@detikcom,Pemerintah Targetkan Semua Guru Tersertifikasi Digital Tahun Depan,0,
4183,Republika,@republikaonline,Kemendikbudristek Pangkas Birokrasi Sertifikasi Melalui Portal Digital,0,
4184,WhatsApp,Forwarded,Link Subsidi Pulsa Belajar 150GB Akhir Tahun klik bit.ly/kuota-sep,1,
4185,Facebook,Kabar Guru,Sertifikat Mengajar Wajib Diperbarui Tiap 2 Tahun dengan Biaya Admin,1,
4186,X (Twitter),@PolitikNews,Dana BOS Tahap III Terhambat Karena Dipakai Biaya Renovasi Kantor Menteri,1,
4187,TikTok,@vlogger_edu,Mulai Oktober Siswa Tanpa Kartu Vaksin Booster Dilarang Ikut ANBK,1,
4188,Instagram,@cekfakta_id,Video Nadiem Mengatakan Guru Honorer Akan Diganti Robot Pintar,1,
4189,Kompas.com,@kompascom,Kemendikbudristek Rilis Jadwal Resmi Asesmen Nasional Jenjang SD Oktober 2022,0,
4190,Detik.com,@detikcom,Nadiem Makarim: Sumpah Pemuda Adalah Momentum Perkuat Profil Pelajar Pancasila,0,
4191,WhatsApp,Grup Sekolah,Link Subsidi Uang Saku Siswa Rp500 Ribu per Bulan dari Kemendikbud,1,
4192,Facebook,Info Guru,Pemerintah Berikan Hadiah Laptop bagi Guru yang Mengabdi Lebih dari 10 Tahun,1,
4193,Antara News,@antaranews,Kemendikbudristek: Sekolah Wajib Laporkan Penggunaan Dana BOS Sebelum 31 Oktober,0,
4194,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Realisasi Belanja Pendidikan Semester II Tetap On-Track,0,
4195,X (Twitter),@PolitikUpdate,Sisa Anggaran Pendidikan Tahun 2022 Akan Digunakan untuk Biaya Operasional IKN,1,
4196,TikTok,@vlogger_edu,Mulai November Seluruh Siswa Wajib Menggunakan Sepatu Merk Lokal dari Sekolah,1,
4197,Republika,@republikaonline,Efisiensi Anggaran: Digitalisasi Sistem Akreditasi Sekolah Hemat Biaya Survei,0,
4198,CNN Indonesia,@CNNIndonesia,Nadiem: Platform Rapor Pendidikan Bantu Sekolah Efisiensi Belanja Barang,0,
4199,WhatsApp,Forwarded,Link Pendaftaran Beasiswa Full S1 Dalam Negeri Cair Bulan Oktober,1,
4200,Facebook,Info Cepat,Mulai Oktober Ijazah Tanpa Sertifikat Vaksin Booster Tidak Berlaku Nasional,1,
4201,X (Twitter),@EduLeaks,Bocoran Data: Anggaran Tunjangan Sertifikasi Guru Akan Dialihkan ke Bansos,1,
4202,TikTok,@news_update,Bahaya! Pengisian Survei Lingkungan Belajar Bisa Melacak Lokasi Rumah Siswa,1,
4203,Instagram,@faktakita,Siswa yang Tidak Mengikuti Upacara Sumpah Pemuda Akan Dicabut Beasiswanya,1,
4204,YouTube,Kemdikbud RI,Sosialisasi: Kebijakan Standar Nasional Pendidikan Tinggi yang Baru,0,
4205,WhatsApp,Grup Guru,Surat Edaran: Guru Honorer Wajib Membeli Atribut Sumpah Pemuda dari Pusat,1,
4206,Facebook,Viral Edu,Seleksi CPNS Guru 2023 Resmi Dibuka Hanya untuk Lulusan Tahun 2022,1,
4207,X (Twitter),@LeakIndo,Dana Abadi Kebudayaan Dipakai Membayar Sewa Pesawat Pejabat Negara,1,
4208,TikTok,@berita_edu,Kabar Gembira: Nadiem Berikan HP Gratis bagi Siswa yang Belum Punya Laptop,1,
4209,CNBC Indonesia,@cnbcindonesia,Sri Mulyani Pastikan Gaji Guru PPPK Aman dalam Alokasi DAU 2023,0,
4210,Liputan6,@liputan6dotcom,Kemendikbudristek: Sekolah Dapat Mengalihkan Sisa Dana BOS untuk Inovasi,0,
4211,YouTube,Kemdikbud RI,Panduan Pengisian Rencana Kegiatan dan Anggaran Sekolah (ARKAS) 4.0,0,
4212,Instagram,@kemdikbud.ri,Selamat Hari Sumpah Pemuda ke-94: Bersatu Bangun Bangsa melalui Pendidikan,0,
4213,LinkedIn,Analis Publik,Efisiensi Belanja Sekolah Lewat Sistem E-Purchasing di Platform SIPLah,0,
4214,Antara News,@antaranews,Kemendiktisaintek: Mahasiswa Peserta Program Pertukaran Merdeka Tiba di Tujuan,0,
4215,Kompas.com,@kompascom,Nadiem: Guru Penggerak Adalah Pemimpin Masa Depan di Satuan Pendidikan,0,
4216,Detik.com,@detikcom,Audit BPK: Digitalisasi Sistem Pendidikan Nasional Mampu Tekan Pungutan Liar,0,
4217,Republika,@republikaonline,Kemendikbudristek Klaim Efisiensi Anggaran Operasional Rp900 Miliar,0,
4218,CNN Indonesia,@CNNIndonesia,Mendikbudristek: Transformasi Seleksi Masuk PTN Lebih Adil bagi Semua Siswa,0,
4219,WhatsApp,Grup RT,Link Subsidi Kuota Belajar 100GB Edisi Hari Sumpah Pemuda klik bit.ly,1,
4220,Facebook,Info Beasiswa,Pendaftaran Kuliah Gratis di Jerman Tanpa Ujian Bahasa Khusus Oktober,1,
4221,X (Twitter),@Netizen_News,Skandal: Pengadaan Buku Saku Sumpah Pemuda Ternyata Hanya Kertas Kosong,1,
4222,TikTok,@berita_panas,Kabar Duka: Gaji Guru Sertifikasi Tidak Akan Cair di Bulan Desember,1,
4223,Instagram,@cekfakta_id,Video Nadiem Makarim Mengatakan Anak Guru Honorer Otomatis Lolos PTN,1,
4224,WhatsApp,Forwarded,"Bantuan Uang Tunai Spesial Bulan Pemuda Rp1,5 Juta dari Kemdikbud",1,
4225,Facebook,Kabar Guru,Sertifikasi Guru Wajib Membayar Pajak Tahunan sebesar Rp500 Ribu,1,
4226,X (Twitter),@PolitikUpdate,Dana Pendidikan Dialihkan untuk Menutupi Kerugian Proyek Kereta Cepat,1,
4227,TikTok,@vlogger_politik,Anggaran Pendidikan Indonesia Hilang Rp25 Triliun di Bulan Oktober,1,
4228,Instagram,@stophoax,Link Pendaftaran Beasiswa LPDP Jalur Tanpa Tes untuk Mahasiswa Aktif,1,
4229,Tempo.co,@tempodotco,Kemendikbudristek Optimalkan Anggaran Melalui Penggabungan Unit Teknis,0,
4230,Media Indonesia,@mediaindonesia,Mendikbudristek: Implementasi Kurikulum Merdeka Terus Menunjukkan Progres,0,
4231,YouTube,@infopendidikan,Cara Cek Kuota Siswa Eligible untuk SNBP 2023 di Portal SNPMB,0,
4232,LinkedIn,Praktisi Edukasi,Penghematan Biaya Seminar Lewat Implementasi Webinar Nasional Rutin,0,
4233,Antara News,@antaranews,Kemendiktisaintek: Riset Teknologi Tepat Guna Fokus pada UMKM,0,
4234,Kompas.com,@kompascom,Nadiem Makarim: Kualitas Lulusan SMK Harus Sejalan dengan Dunia Industri,0,
4235,Detik.com,@detikcom,Pemerintah Salurkan Bantuan Dana Darurat bagi Sekolah Terkena Banjir,0,
4236,Republika,@republikaonline,Kemenkeu: Efisiensi Dana Pendidikan Capai 16% Melalui Digitalisasi Belanja,0,
4237,CNN Indonesia,@CNNIndonesia,Mendikbudristek Tegaskan Tidak Ada Penghapusan Mata Pelajaran Olahraga,0,
4238,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Belanja Fungsi Pendidikan Fokus pada Pemulihan Fasilitas,0,
4239,WhatsApp,Grup Sekolah,Biaya Administrasi Pengambilan Nomor ANBK Sebesar Rp100 Ribu,1,
4240,Facebook,Viral News,Dana BOS Tahap III Tidak Akan Cair karena Dialokasikan ke Harga BBM,1,
4241,X (Twitter),@LeakIndo,Terungkap: Dana Pendidikan Dipakai Membeli Kendaraan Mewah Kantor Dinas,1,
4242,TikTok,@news_update,Bahaya! Tablet Bantuan Pemerintah Bisa Mencuri Data Sandi Instagram,1,
4243,Instagram,@fakta_edu,Mahasiswa KIP Kuliah Wajib Memberikan Bagian Beasiswanya ke Kampus,1,
4244,YouTube,@berita_sekolah,Kemendikbud Resmi Umumkan Hari Sabtu Libur bagi Seluruh Sekolah Nasional,1,
4245,WhatsApp,Grup RT,Sekolah yang Tidak Memasang Spanduk HUT Sumpah Pemuda Akan Disanksi,1,
4246,Facebook,Info Cepat,Beasiswa S2 Singapura Resmi Ditutup karena Masalah Anggaran Negara,1,
4247,X (Twitter),@Netizen_News,Skandal: Dana Renovasi Perpustakaan Ternyata Hanya untuk Perbaikan Pintu,1,
4248,TikTok,@berita_panas,Kabar Duka: Seluruh Guru Honorer akan Dihapus per 31 Oktober 2022,1,
4249,Antara News,@antaranews,Kemendikbudristek Dorong Pemanfaatan Platform Digital di Sekolah Dasar,0,
4250,Kompas.com,@kompascom,Nadiem: Program Kampus Mengajar Berikan Pengalaman Nyata bagi Mahasiswa,0,
4251,Detik.com,@detikcom,Kemendiktisaintek Klaim Efisiensi Anggaran Riset Rp700 Miliar,0,
4252,Republika,@republikaonline,Kemendikbudristek Pantau Akuntabilitas Dana BOSP melalui Sistem Terpadu,0,
4253,Tempo.co,@tempodotco,Efisiensi Anggaran: Kemendikbud Pangkas Biaya Konsumsi Rapat Fisik 40%,0,
4254,Media Indonesia,@mediaindonesia,Mendikbudristek: Sekolah Harus Menjadi Ruang Aman dari Perundungan,0,
4255,CNBC Indonesia,@cnbcindonesia,Realisasi Belanja Fungsi Pendidikan per Oktober Lampaui Target Kuartal,0,
4256,YouTube,@pendidikankita,Inovasi Digital: Mengurangi Biaya Administrasi Lewat Aplikasi Sekolah,0,
4257,Instagram,@kemdikbud.ri,Selamat! Jutaan Mahasiswa Telah Terdaftar sebagai Penerima Beasiswa,0,
4258,LinkedIn,Praktisi Edukasi,Dampak Positif Penggunaan SIPLah dalam Menekan Harga Barang Sekolah,0,
4259,Antara News,@antaranews,Kemendiktisaintek: Skema Dana Padanan Riset Dukung Inovasi Hilirisasi,0,
4260,Kompas.com,@kompascom,Nadiem Makarim: Digitalisasi Sekolah Mudahkan Guru dalam Administrasi,0,
4261,Detik.com,@detikcom,Pemerintah Targetkan Semua Sekolah Memiliki Akses Internet di Tahun 2023,0,
4262,Republika,@republikaonline,Kemendikbudristek Pangkas Birokrasi Laporan Dana BOS melalui ARKAS,0,
4263,CNN Indonesia,@CNNIndonesia,Mendikbud: Anggaran Pendidikan Adalah Investasi Jangka Panjang Bangsa,0,
4264,Kompas.com,@kompascom,Kemendikbudristek Salurkan Dana Tunjangan Guru di Wilayah 3T Tahap 3,0,
4265,Detik.com,@detikcom,Nadiem: Dana BOS Oktober Bisa Digunakan untuk Pembelian Perlengkapan ANBK,0,
4266,Antara News,@antaranews,Pemerintah Prioritaskan Dana Pendidikan untuk Wilayah Kepulauan Terluar,0,
4267,CNN Indonesia,@CNNIndonesia,Audit BPK Temukan Efisiensi Pengadaan Buku Teks di Kemendikbudristek,0,
4268,Republika,@republikaonline,Kemendikbudristek Pantau Dana BOSP melalui Dashboard Digital Terpadu,0,
4269,Tempo.co,@tempodotco,Kemendikbudristek Hemat Rp2 Triliun Lewat Sistem E-Procurement 2022,0,
4270,Media Indonesia,@mediaindonesia,Mendikbudristek: Evaluasi Kurikulum Merdeka Melibatkan Banyak Praktisi,0,
4271,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Belanja Pendidikan Oktober Fokus pada Gaji Guru PPPK,0,
4272,YouTube,@pendidikankita,Inovasi Digital Sekolah: Mengurangi Biaya Operasional Cetak Soal,0,
4273,Instagram,@kemdikbud.ri,Ayo Gunakan Akun Belajar.id untuk Akses Platform Merdeka Mengajar,0,
4274,LinkedIn,Praktisi Edukasi,Dampak Pengalihan Anggaran Seremonial ke Subsidi Riset Nasional,0,
4275,Antara News,@antaranews,Kemendiktisaintek: Skema Dana Padanan Riset Dorong Kolaborasi,0,
4276,Kompas.com,@kompascom,Nadiem Makarim: Digitalisasi Sekolah Kunci Transparansi Anggaran,0,
4277,Detik.com,@detikcom,Pemerintah Targetkan Semua Guru Memiliki Sertifikat Literasi Digital,0,
4278,Republika,@republikaonline,Kemendikbudristek Permudah Administrasi Guru Lewat Portal Terpusat,0,
4279,CNN Indonesia,@CNNIndonesia,Nadiem: Integrasi Satu Data Pendidikan Kurangi Resiko Tumpang Tindih,0,
4280,Tempo.co,@tempodotco,Efisiensi Anggaran: Kemendikbud Hapus Ratusan Pos Rapat Luar Kota,0,
4281,Antara News,@antaranews,Kemendiktisaintek: Beasiswa LPDP 2022 Ditargetkan bagi Calon Peneliti,0,
4282,Kompas.com,@kompascom,Nadiem: Kurikulum Merdeka Membantu Pemulihan Belajar Siswa Dasar,0,
4283,Detik.com,@detikcom,Pemerintah Alokasikan Rp18 Triliun untuk Dana Abadi Pendidikan 2022,0,
4284,WhatsApp,Forwarded,Link Klaim Hadiah Sumpah Pemuda 500rb dari Pemerintah klik bit.ly,1,
4285,Facebook,Suara Rakyat,Menteri Nadiem: Seluruh Sekolah Swasta akan Ditutup Secara Bertahap,1,
4286,X (Twitter),@PolitikUpdate,Dana Publikasi Jurnal Dosen Digunakan Membayar Hutang Negara per Oktober,1,
4287,TikTok,@vlogger_politik,Anggaran Pendidikan Indonesia Hilang Rp40 Triliun Bulan Oktober Ini,1,
4288,Instagram,@stophoax,Berita Penghapusan Tunjangan Profesi Guru per November Adalah Fakta,1,
4289,YouTube,@infopendidikan,Tutorial Sinkronisasi Dapodik untuk Pencairan Dana BOS Tahap 3,0,
4290,LinkedIn,Analis Publik,Mengapa Digitalisasi Pendidikan Menurunkan Biaya Logistik Daerah,0,
4291,Antara News,@antaranews,Kemendiktisaintek: Program Matching Fund Dorong Hilirisasi Riset,0,
4292,Kompas.com,@kompascom,Mendikbud: Pemanfaatan Teknologi Kunci Efisiensi Anggaran Jangka Panjang,0,
4293,Detik.com,@detikcom,Pemerintah Targetkan 3 Juta Guru Tersertifikasi Digital Tahun Depan,0,
4294,Republika,@republikaonline,Kemendikbudristek Pangkas Birokrasi Laporan Lewat Portal Digital,0,
4295,CNN Indonesia,@CNNIndonesia,Nadiem: Dana BOS Bisa Digunakan untuk Perbaikan Infrastruktur IT,0,
4296,Media Indonesia,@mediaindonesia,Mendikbudristek: Sekolah Level 1 Tetap Laksanakan PTM 100 Persen,0,
4297,CNBC Indonesia,@cnbcindonesia,Realisasi Belanja Fungsi Pendidikan Oktober Sesuai Pagu Anggaran,0,
4298,Antara News,@antaranews,Kemendiktisaintek: Beasiswa Unggulan 2022 Fokus pada Prestasi Nasional,0,
4299,Kompas.com,@kompascom,Kemendikbudristek Hemat Anggaran Lewat Pengadaan Digital SIPLah,0,
4300,Detik.com,@detikcom,Nadiem: Pendidikan Karakter Penting dalam Implementasi Kurikulum,0,
4301,Republika,@republikaonline,Kemenkeu: Efisiensi Dana Pendidikan Capai 13 Persen Lewat Satu Data,0,
4302,Tempo.co,@tempodotco,Kemendikbudristek Pangkas Biaya Operasional Lewat Satu Data Terpadu,0,
4303,Antara News,@antaranews,Pemerintah Salurkan Tunjangan Khusus Guru di Daerah Terpencil,0,
4304,CNN Indonesia,@CNNIndonesia,Nadiem: Platform Rapor Pendidikan Membantu Sekolah Menilai Diri,0,
