No,Sumber,Akun / Media,Judul / Narasi,Label Manual,Label Otomatis
6252,TikTok,@vlogger_politik,terbongkar dana pendidikan nasional lari kontraktor negeri,1,
6253,Instagram,@faktakita,siswa terlambat menit langsung dikeluarkan sekolah,1,
6254,YouTube,@infopendidikan,panduan memilih jurusan snbp langkah,0,
6255,LinkedIn,Praktisi Edukasi,dampak penghematan listrik kampus teknologi smart building,0,
6256,Antara News,@antaranews,kemendiktisaintek mahasiswa magang merdeka mulai mendapatkan uang saku,0,
6257,Kompas.com,@kompascom,nadiem makarim program wirausaha merdeka targetkan siswa vokasi,0,
6258,Detik.com,@detikcom,pemerintah salurkan bantuan dana darurat sekolah terdampak gempa,0,
6259,Republika,@republikaonline,kemenkeu efisiensi dana pendidikan capai sistem data,0,
6260,CNN Indonesia,@CNNIndonesia,mendikbudristek tegaskan penghapusan mata pelajaran sejarah,0,
6261,CNBC Indonesia,@cnbcindonesia,sri mulyani belanja pendidikan februari fokus peningkatan gaji guru,0,
6262,WhatsApp,Grup Sekolah,biaya pendaftaran ujian akhir semester genap sebesar rp ribu,1,
6263,Facebook,Viral News,dana bos februari macet anggaran dipakai membayar utang negara,1,
6264,X (Twitter),@LeakIndo,terungkap dana pendidikan dipakai membeli perhiasan mewah istri pejabat,1,
6265,TikTok,@news_update,bahaya tinta stempel ijazah mengandung bahan kimia merusak kulit,1,
6266,Instagram,@fakta_edu,mahasiswa kip kuliah wajib menabung uang sakunya bank rekanan,1,
6267,YouTube,@berita_sekolah,kemendikbud resmi umumkan libur lebaran ditambah jadi minggu penuh,1,
6268,WhatsApp,Grup RT,sekolah mengadakan acara perpisahan hotel ditegur,1,
6269,Facebook,Info Cepat,beasiswa jepang ditutup hubungan diplomatik memburuk,1,
6270,X (Twitter),@Netizen_News,skandal dana pengadaan alat peraga smk barang bekas,1,
6271,TikTok,@berita_panas,berita duka sekolah biasa slb ditutup mulai,1,
6272,Instagram,@cekfakta_id,video nadiem mengatakan guru diganti mentor ai lolos,1,
6273,Republika,@republikaonline,kemendikbudristek pangkas birokrasi sertifikasi portal data,0,
6274,WhatsApp,Forwarded,link subsidi uang saku mahasiswa semester rp juta klik bit ly,1,
6275,Facebook,Kabar Guru,guru membeli majalah pendidikan pusat dipersulit,1,
6276,X (Twitter),@PolitikNews,dana bos februari macet kas negara dipakai membayar utang,1,
6277,TikTok,@vlogger_edu,mulai maret siswa tanpa kartu sehat dilarang masuk sekolah,1,
6278,Instagram,@cekfakta_id,video nadiem mengatakan kantin sekolah boleh menjual menu rebusan,1,
6279,Kompas.com,@kompascom,akhirnya kemendikbudristek umumkan hasil seleksi pppk guru tahun,0,
6280,Detik.com,@detikcom,nadiem makarim guru honorer resmi lulus pppk tahun,0,
6281,WhatsApp,Grup Guru,link dana kaget ramadan rp ribu khusus guru honorer klik bit ly,1,
6282,Facebook,Info Guru,aturan guru ikut pesantren kilat gaji sertifikasi dipotong,1,
6283,Antara News,@antaranews,pendaftaran utbk snbt resmi dibuka simak syarat alurnya,0,
6284,CNBC Indonesia,@cnbcindonesia,sri mulyani thr guru dosen cair idul fitri,0,
6285,X (Twitter),@PolitikUpdate,dana operasional sekolah maret dikorupsi tiket konser pejabat,1,
6286,TikTok,@vlogger_edu,berita buruk selama ramadan jam pulang sekolah ditambah jam,1,
6287,Republika,@republikaonline,efisiensi anggaran digitalisasi pengumuman pppk hemat biaya logistik,0,
6288,CNN Indonesia,@CNNIndonesia,nadiem sertifikat pendidik kini dapat diakses digital belajar id,0,
6289,WhatsApp,Forwarded,link subsidi kuota ramadan gb kemdikbud klik bit ly kuota,1,
6290,Facebook,Info Cepat,mulai maret siswa wajib membeli seragam muslim toko dinas,1,
6291,X (Twitter),@EduLeaks,dokumen bocor pemerintah menghapus jurusan agama madrasah,1,
6292,TikTok,@news_update,bahaya buka website snpmb malam hari merusak mata secara permanen,1,
6293,Instagram,@faktakita,siswa berpuasa dilarang mengikuti ujian tengah semester uts,1,
6294,YouTube,Kemdikbud RI,pidato mendikbudristek selamat guru honorer lulus pppk,0,
6295,WhatsApp,Grup Guru,iuran wajib guru bingkisan lebaran kepala dinas rp ribu,1,
6296,Facebook,Viral Edu,kemenkeu cairkan dana thr pelajar rp juta pemegang kartu kip,1,
6297,X (Twitter),@LeakIndo,dana bos tahap digunakan biaya perjalanan negeri pejabat,1,
6298,TikTok,@berita_edu,berita gembira nadiem beri saldo wallet rp ribu edisi ramadan,1,
6299,CNBC Indonesia,@cnbcindonesia,sri mulyani belanja pendidikan maret fokus infrastruktur digital,0,
6300,Liputan6,@liputan6dotcom,kemendikbudristek sekolah dihimbau sesuaikan jam belajar ramadan,0,
6301,YouTube,SNPMB BPPP,panduan mengunggah portofolio pendaftaran utbk snbt,0,
6302,Instagram,@kemdikbud.ri,marhaban ramadan momentum belajar sabar karakter pelajar,0,
6303,LinkedIn,Analis Publik,efisiensi biaya rekrutmen guru sistem computer assisted ujian,0,
6304,Antara News,@antaranews,kemendiktisaintek mahasiswa kip kuliah wajib update data ipk,0,
6305,Kompas.com,@kompascom,nadiem platform merdeka mengajar kini miliki fitur perangkat ajar,0,
6306,Detik.com,@detikcom,audit bpk digitalisasi penyaluran pip berhasil cegah kebocoran dana,0,
6307,Republika,@republikaonline,kemendikbudristek klaim hemat rp miliar rapat koordinasi online,0,
6308,CNN Indonesia,@CNNIndonesia,mendikbudristek sekolah dilarang pungut biaya tambahan perpisahan,0,
6309,WhatsApp,Grup RT,link subsidi sembako pelajar kemendikbud klik bit ly sembako,1,
6310,Facebook,Info Beasiswa,beasiswa full mesir jalur khusus ramadan tanpa seleksi,1,
6311,X (Twitter),@Netizen_News,skandal dana renovasi perpustakaan sekolah digunakan membeli mobil,1,
6312,TikTok,@berita_panas,berita duka guru lulus pppk diberhentikan maret,1,
6313,Instagram,@cekfakta_id,video nadiem sebut kantin sekolah harus tutup total selama ramadan,1,
6314,WhatsApp,Forwarded,link subsidi uang saku mahasiswa semester rp juta per bulan,1,
6315,Facebook,Kabar Guru,syarat cair tpg guru wajib unggah foto tadarus aplikasi pmm,1,
6316,X (Twitter),@PolitikUpdate,sisa anggaran sekolah wajib disetor safari ramadan partai,1,
6317,TikTok,@vlogger_politik,terbongkar dana beasiswa lpdp mengalir rekening influencer,1,
6318,Instagram,@stophoax,pendaftaran beasiswa negeri gratis tablet tanpa seleksi,1,
6319,Tempo.co,@tempodotco,kemendikbudristek optimalkan anggaran pengadaan siplah,0,
6320,Media Indonesia,@mediaindonesia,mendikbudristek kurikulum merdeka tekankan profil pelajar pancasila,0,
6321,YouTube,@infopendidikan,membayar biaya utbk snbt mobile banking,0,
6322,LinkedIn,Praktisi Edukasi,efisiensi listrik sekolah penggunaan panel surya smk hemat,0,
6323,Antara News,@antaranews,kemendiktisaintek skema matching fund tarik ribuan peneliti,0,
6324,Kompas.com,@kompascom,nadiem makarim mahasiswa harus keluar zona nyaman msib,0,
6325,Detik.com,@detikcom,pemerintah salurkan bantuan dana sekolah terdampak longsor,0,
6326,Republika,@republikaonline,kemenkeu efisiensi dana pendidikan capai arkas,0,
6327,CNN Indonesia,@CNNIndonesia,mendikbudristek tegaskan penghapusan mata pelajaran agama,0,
6328,CNBC Indonesia,@cnbcindonesia,sri mulyani thr guru dosen termasuk komponen tukin,0,
6329,Antara News,@antaranews,kemendikbudristek dorong revitalisasi bahasa daerah provinsi,0,
6330,Kompas.com,@kompascom,jadwal seleksi mandiri ptn harus dilakukan pengumuman snbt,0,
6331,Detik.com,@detikcom,nadiem guru penggerak pemimpin pembelajaran masa,0,
6332,Tempo.co,@tempodotco,pemerintah beri insentif sekolah sukses terapkan inklusi,0,
6333,Media Indonesia,@mediaindonesia,mendikbudristek sekolah harus steril aktivitas politik praktis,0,
6334,Republika,@republikaonline,kemenkeu penyaluran dana bos langsung rekening sekolah,0,
6335,CNN Indonesia,@CNNIndonesia,nadiem sebut kurikulum merdeka digunakan ribu sekolah,0,
6336,CNBC Indonesia,@cnbcindonesia,sri mulyani pendidikan belanja terbesar apbn,0,
6337,Antara News,@antaranews,kemendiktisaintek luncurkan beasiswa dosen negeri tahap,0,
6338,Liputan6,@liputan6dotcom,kemendikbudristek batas akhir unggah portofolio snbt april,0,
6339,LinkedIn,Praktisi Edukasi,pentingnya audit internal dana bos menghindari temuan bpk,0,
6340,Kompas.com,@kompascom,nadiem platform rapor pendidikan membantu sekolah menentukan prioritas,0,
6341,Detik.com,@detikcom,kemendikbudristek sediakan ribu kuota beasiswa non gelar guru,0,
6342,Republika,@republikaonline,efisiensi pengadaan alat lab smk kini katalog elektronik,0,
6343,CNN Indonesia,@CNNIndonesia,mendikbudristek instruksikan sekolah cegah bullying lingkungan,0,
6344,Antara News,@antaranews,pemerintah salurkan bantuan bus sekolah wilayah terpencil,0,
6345,Tempo.co,@tempodotco,audit bpk penyaluran dana pip berjalan prosedur,0,
6346,Media Indonesia,@mediaindonesia,mendikbud lulusan vokasi harus memiliki sertifikasi kompetensi,0,
6347,CNBC Indonesia,@cnbcindonesia,sri mulyani pastikan anggaran thr guru daerah ditransfer,0,
6348,Kompas.com,@kompascom,pendaftaran sekolah kedinasan segera dibuka akhir maret,0,
6349,Detik.com,@detikcom,nadiem mahasiswa magang merdeka mendapat uang saku standar,0,
6350,Republika,@republikaonline,kemendikbudristek targetkan juta guru honorer jadi pppk,0,
6351,CNN Indonesia,@CNNIndonesia,nadiem makarim teknologi ai membantu guru personalisasi materi,0,
6352,Antara News,@antaranews,pemerintah bangun sma unggulan wilayah papua tahun,0,
6353,Tempo.co,@tempodotco,kemendikbudristek gunakan dashboard digital pantau mutu guru,0,
6354,Media Indonesia,@mediaindonesia,mendikbud profil pelajar pancasila fokus akhlak mulia,0,
6355,CNBC Indonesia,@cnbcindonesia,sri mulyani realisasi dana sertifikasi guru capai kuartal,0,
6356,Kompas.com,@kompascom,kemendikbudristek fasilitasi riset internasional mahasiswa,0,
6357,Detik.com,@detikcom,nadiem kampus mengajar berikan dampak signifikan sekolah dasar,0,
6358,Republika,@republikaonline,efisiensi sistem data kurangi beban administrasi kepala sekolah,0,
6359,CNN Indonesia,@CNNIndonesia,nadiem evaluasi kurikulum merdeka dilakukan secara berkala,0,
6360,Antara News,@antaranews,pemerintah beri penghargaan guru inspiratif wilayah,0,
6361,Tempo.co,@tempodotco,kemendikbudristek hemat rp miliar digitalisasi arsip sekolah,0,
6362,Media Indonesia,@mediaindonesia,mendikbud kerjasama sekolah industri kunci keberhasilan smk,0,
6363,CNBC Indonesia,@cnbcindonesia,sri mulyani sebut dana abadi pendidikan membantu riset strategis,0,
6364,Kompas.com,@kompascom,kemendikbudristek umumkan pemenang lomba literasi nasional,0,
6365,Detik.com,@detikcom,nadiem mahasiswa dapat belajar kampus semester,0,
6366,Republika,@republikaonline,efisiensi digitalisasi perpustakaan sekolah kurangi biaya perawatan,0,
6367,CNN Indonesia,@CNNIndonesia,nadiem makarim sekolah harus jadi ruang aman siswa,0,
6368,Antara News,@antaranews,pemerintah salurkan bantuan dana rehab sekolah pasca gempa cianjur,0,
6369,Tempo.co,@tempodotco,audit bpk penyaluran dana bos akurat dibanding,0,
6370,Media Indonesia,@mediaindonesia,mendikbud transformasi pendidikan perlu dukungan orang tua,0,
6371,CNBC Indonesia,@cnbcindonesia,sri mulyani alokasi dana pendidikan meningkat,0,
6372,Kompas.com,@kompascom,kemendikbudristek beri beasiswa anak korban konflik sosial,0,
6373,Detik.com,@detikcom,nadiem inovasi guru pmm biasa sepanjang,0,
6374,Republika,@republikaonline,efisiensi penggunaan dashboard arkas kurangi potensi maladministrasi,0,
6375,CNN Indonesia,@CNNIndonesia,nadiem perguruan tinggi harus menghasilkan solusi bangsa,0,
6376,Antara News,@antaranews,pemerintah targetkan sekolah terakreditasi digital,0,
6377,Tempo.co,@tempodotco,kemendikbudristek pangkas birokrasi sertifikasi sistem online,0,
6378,Media Indonesia,@mediaindonesia,mendikbud pendidik harus belajar beradaptasi,0,
6379,WhatsApp,Grup Sekolah,biaya administrasi ujian semester genap rp ribu,1,
6380,Facebook,Viral News,dana bos maret tertunda subsidi bbm ramadan,1,
6381,X (Twitter),@LeakIndo,terungkap dana pendidikan dipakai membeli pakaian istri pejabat,1,
6382,TikTok,@news_update,bahaya aroma buku pelajaran dapat menyebabkan amnesia,1,
6383,Instagram,@fakta_edu,mahasiswa kip kuliah wajib menyumbang uang saku yayasan,1,
6384,YouTube,@berita_sekolah,kemendikbud resmi hapus ujian praktek olahraga selamanya,1,
6385,WhatsApp,Grup RT,sekolah ikut gerakan sekolah sehat dipotong dana bos,1,
6386,Facebook,Info Cepat,beasiswa australia ditutup sementara keamanan,1,
6387,X (Twitter),@Netizen_News,skandal dana lab komputer digunakan membeli laptop bekas,1,
6388,TikTok,@berita_panas,berita duka guru honorer dihapus per maret,1,
6389,WhatsApp,Forwarded,link subsidi uang saku mahasiswa semester rp juta klik bit ly,1,
6390,Facebook,Kabar Guru,guru membeli kurma dinas pendidikan dipersulit,1,
6391,X (Twitter),@PolitikNews,dana bos maret macet negara membeli pesawat tempur,1,
6392,TikTok,@vlogger_edu,mulai april siswa tanpa kartu ramadan digital dilarang masuk,1,
6393,Instagram,@cekfakta_id,video nadiem sebut kantin boleh menjual menu takjil tertentu,1,
6394,WhatsApp,Grup Guru,iuran wajib guru dana bukber dinas rp ribu per orang,1,
6395,Facebook,Info Beasiswa,beasiswa inggris jalur khusus ramadan tanpa syarat ipk,1,
6396,X (Twitter),@RakyatUpdate,dana pendidikan rp triliun dialihkan mobil listrik dinas,1,
6397,TikTok,@berita_edu,berita gembira nadiem beri saldo dana rp ribu share,1,
6398,Instagram,@stophoax,link pendaftaran beasiswa negeri jalur tiket pesawat gratis,1,
6399,WhatsApp,Forwarded,link subsidi uang saku mahasiswa semester rp juta,1,
6400,Facebook,Kabar Guru,syarat tpg guru wajib unggah foto tadarus aplikasi pmm,1,
6401,X (Twitter),@PolitikUpdate,sisa anggaran sekolah dipakai membeli pakaian mewah pejabat,1,
6402,TikTok,@vlogger_politik,terbongkar dana pendidikan nasional lari kontraktor,1,
6403,Instagram,@faktakita,siswa terlambat menit langsung dikeluarkan sekolah,1,
6404,YouTube,@berita_sekolah,kemendikbud resmi umumkan libur lebaran bulan penuh,1,
6405,WhatsApp,Grup RT,sekolah mengadakan acara perpisahan hotel ditegur,1,
6406,Facebook,Info Cepat,beasiswa jepang ditutup hubungan politik memburuk,1,
6407,X (Twitter),@Netizen_News,skandal dana pengadaan alat peraga smk barang bekas,1,
6408,TikTok,@berita_panas,berita duka slb ditutup mulai semester,1,
6409,Instagram,@cekfakta_id,video nadiem mengatakan guru diganti mentor ai gagal,1,
6410,WhatsApp,Grup Guru,iuran wajib guru paket parsel lebaran pengawas rp ribu,1,
6411,Facebook,Info Beasiswa,beasiswa singapura jalur khusus pendaftar lailatul qadar,1,
6412,X (Twitter),@LeakIndo,dana beasiswa lpdp maret macet anggaran dialihkan ikn,1,
6413,TikTok,@news_update,bahaya seragam sekolah bahan sintetis dapat sebabkan kanker kulit,1,
6414,Instagram,@fakta_edu,mahasiswa kip kuliah wajib menabung uang sakunya koperasi,1,
6415,WhatsApp,Forwarded,link subsidi pulsa belajar ramadan gb klik bit ly pulsa ramadan,1,
6416,Facebook,Kabar Guru,guru mengeluh soal pppk medsos diblokir dapodiknya,1,
6417,X (Twitter),@PolitikNews,terungkap dana pendidikan rp triliun menguap proyek fiktif,1,
6418,TikTok,@vlogger_edu,mulai mei jam masuk sekolah dimajukan jadi pukul pagi,1,
6419,Instagram,@cekfakta_id,video nadiem menyebut guru wajib membeli laptop,1,
6420,WhatsApp,Grup Sekolah,biaya pengadaan ac kelas dibebankan orang tua rp ribu,1,
6421,Facebook,Info Cepat,mulai april siswa sma libur hari sabtu,1,
6422,X (Twitter),@Netizen_News,skandal dana buku perpustakaan nasional dipakai membeli berlian pejabat,1,
6423,TikTok,@berita_panas,bahaya sekolah gunakan kurikulum merdeka ijazahnya laku,1,
6424,Instagram,@faktakita,siswa punya kartu indonesia sehat dilarang ikut uts,1,
6425,WhatsApp,Grup Guru,surat perintah guru wajib menyumbang rp ribu acara dinas,1,
6426,Facebook,Viral News,dana bos maret dipotong membayar bunga utang negeri,1,
6427,X (Twitter),@LeakIndo,terungkap laptop bantuan sekolah dijual oknum dinas,1,
6428,Instagram,@cekfakta_id,video nadiem mengatakan kantin boleh menjual menu rebusan,1,
6429,Kompas.com,@kompascom,pengumuman snbp siswa dinyatakan lolos ptn,0,
6430,Detik.com,@detikcom,nadiem makarim selamat siswa lolos segera daftar ulang,0,
6431,WhatsApp,Grup Sekolah,link subsidi uang lebaran rp ribu siswa lolos snbp klik bit ly,1,
6432,Facebook,Info Guru,aturan guru honorer wajib masuk selama cuti lebaran,1,
6433,Antara News,@antaranews,kemendikbudristek penyaluran thr guru dosen dimulai lebaran,0,
6434,CNBC Indonesia,@cnbcindonesia,sri mulyani anggaran thr pendidik mencakup tunjangan kinerja,0,
6435,X (Twitter),@PolitikUpdate,dana pendidikan rp triliun dipakai membayar sewa pesawat mudik pejabat,1,
6436,TikTok,@vlogger_edu,berita buruk libur lebaran sekolah dipangkas menjadi hari,1,
6437,Republika,@republikaonline,efisiensi anggaran digitalisasi pengumuman snbp hemat biaya operasional,0,
6438,CNN Indonesia,@CNNIndonesia,nadiem sekolah dilarang meminta pungutan berkedok zakat parsel,0,
6439,WhatsApp,Forwarded,link hadiah lebaran kuota internet gb kominfo klik bit ly,1,
6440,Facebook,Info Cepat,mulai april siswa wajib menggunakan kartu mudik digital sekolah,1,
6441,X (Twitter),@EduLeaks,dokumen bocor pemerintah menghapus thr guru golongan iii,1,
6442,TikTok,@news_update,bahaya mencuci seragam deterjen dapat menggugurkan status kip,1,
6443,Instagram,@faktakita,siswa mudik wajib mengikuti kelas tambahan selama liburan,1,
6444,YouTube,Kemdikbud RI,pidato mendikbudristek menjaga integritas pendidikan hari raya,0,
6445,WhatsApp,Grup Guru,iuran parsel lebaran pengawas sekolah sebesar rp ribu,1,
6446,Facebook,Viral Edu,kemenkeu cairkan bonus lebaran rp juta pemegang kip,1,
6447,X (Twitter),@LeakIndo,dana sertifikasi guru triwulan digunakan biaya kampanye,1,
6448,TikTok,@berita_edu,berita gembira nadiem beri saldo wallet rp ribu edisi mudik,1,
6449,CNBC Indonesia,@cnbcindonesia,sri mulyani belanja pendidikan april terfokus thr gaji,0,
6450,Liputan6,@liputan6dotcom,kemendikbudristek cuti lebaran maju mulai april,0,
6451,YouTube,SNPMB BPPP,tahapan pendaftaran ulang peserta lolos snbp,0,
6452,Instagram,@kemdikbud.ri,selamat idul fitri maaf lahir batin keluarga besar kemendikbud,0,
6453,LinkedIn,Analis Publik,efisiensi biaya monitoring pendidikan dashboard real time,0,
6454,Antara News,@antaranews,kemendiktisaintek mahasiswa kip kuliah mulai menerima uang saku april,0,
6455,Kompas.com,@kompascom,nadiem platform merdeka mengajar membantu guru belajar secara mandiri,0,
6456,Detik.com,@detikcom,audit bpk penyaluran dana bosp tahap berjalan akurat,0,
6457,Republika,@republikaonline,kemendikbudristek klaim hemat rp miliar kebijakan rapat virtual,0,
6458,CNN Indonesia,@CNNIndonesia,mendikbudristek guru penggerak memiliki peluang menjadi kepala sekolah,0,
6459,WhatsApp,Grup RT,link pendaftaran mudik gratis khusus pelajar mahasiswa klik bit ly,1,
6460,Facebook,Info Beasiswa,beasiswa full arab saudi jalur khusus idul fitri tanpa berkas,1,
6461,X (Twitter),@Netizen_News,skandal dana thr guru daerah disunat oknum kepentingan pribadi,1,
6462,TikTok,@berita_panas,berita duka dana sertifikasi dihapus mulai mei,1,
6463,Instagram,@cekfakta_id,video nadiem sebut kantin sekolah dilarang menjual makanan berlemak,1,
6464,WhatsApp,Forwarded,link subsidi uang transportasi mudik rp ribu kemdikbud,1,
6465,Facebook,Kabar Guru,syarat cair thr guru wajib unggah video ucapan lebaran pmm,1,
6466,X (Twitter),@PolitikUpdate,sisa dana bos april wajib disetor membayar utang negeri,1,
6467,TikTok,@vlogger_politik,terbongkar dana pendidikan nasional mengalir perusahaan cangkang,1,
6468,Instagram,@stophoax,pendaftaran beasiswa negeri gratis laptop tanpa seleksi,1,
6469,Tempo.co,@tempodotco,kemendikbudristek optimalkan anggaran sistem purchasing siplah,0,
6470,Media Indonesia,@mediaindonesia,mendikbudristek pendidikan karakter harus menjadi jiwa kurikulum merdeka,0,
6471,YouTube,@infopendidikan,cek daftar nama penerima dana pip cair bulan april,0,
6472,LinkedIn,Praktisi Edukasi,efisiensi biaya gedung sekolah pengawasan digital arkas,0,
6473,Antara News,@antaranews,kemendiktisaintek program matching fund fokus energi hijau,0,
6474,Kompas.com,@kompascom,nadiem makarim siswa smk harus siap menghadapi industri,0,
6475,Detik.com,@detikcom,pemerintah salurkan dana darurat sekolah terdampak kebakaran,0,
6476,Republika,@republikaonline,kemenkeu efisiensi dana pendidikan capai budgeting,0,
6477,CNN Indonesia,@CNNIndonesia,mendikbudristek tegaskan penurunan standar kelulusan,0,
6478,CNBC Indonesia,@cnbcindonesia,sri mulyani dana abadi riset mencapai rp triliun semester,0,
6479,Antara News,@antaranews,kemendikbudristek sekolah inklusif meningkat tahun,0,
6480,Kompas.com,@kompascom,jadwal pendaftaran utbk snbt ditutup akhir april,0,
6481,Detik.com,@detikcom,nadiem transformasi pendidikan membutuhkan gotong royong,0,
6482,Tempo.co,@tempodotco,pemerintah beri penghargaan sekolah literasi terbaik,0,
6483,Media Indonesia,@mediaindonesia,mendikbudristek sekolah dihimbau aktif gunakan rapor pendidikan,0,
6484,Republika,@republikaonline,kemenkeu penyaluran dana bos sistem single point,0,
6485,CNN Indonesia,@CNNIndonesia,nadiem kurikulum merdeka memberi otonomi besar sekolah,0,
6486,CNBC Indonesia,@cnbcindonesia,sri mulyani anggaran pendidikan tetap menjadi prioritas tengah resesi,0,
6487,Antara News,@antaranews,kemendiktisaintek luncurkan beasiswa dosen tahap lpdp,0,
6488,Liputan6,@liputan6dotcom,kemendikbudristek pendaftaran ppg jabatan mulai dibuka,0,
6489,LinkedIn,Praktisi Edukasi,pentingnya manajemen risiko dana bos akuntabilitas sekolah,0,
6490,Kompas.com,@kompascom,nadiem platform merdeka mengajar kini digunakan juta guru,0,
6491,Detik.com,@detikcom,kemendikbudristek sediakan beasiswa guru daerah,0,
6492,Republika,@republikaonline,efisiensi digitalisasi laporan pip kurangi penggunaan kertas,0,
6493,CNN Indonesia,@CNNIndonesia,mendikbudristek instruksikan sekolah cegah kekerasan seksual,0,
6494,Antara News,@antaranews,pemerintah salurkan bantuan alat musik tradisional sekolah,0,
6495,Tempo.co,@tempodotco,audit bpk penyaluran tunjangan profesi guru berjalan lancar,0,
6496,Media Indonesia,@mediaindonesia,mendikbud lulusan universitas harus siap menjadi entrepreneur,0,
6497,CNBC Indonesia,@cnbcindonesia,sri mulyani pastikan anggaran pendidikan berkurang,0,
6498,Kompas.com,@kompascom,pendaftaran sekolah kedinasan stis stan dibuka april,0,
6499,Detik.com,@detikcom,nadiem program pertukaran mahasiswa merdeka perkuat persatuan,0,
6500,Republika,@republikaonline,kemendikbudristek optimalkan dana bosp kualitas pembelajaran,0,
6501,CNN Indonesia,@CNNIndonesia,nadiem makarim literasi digital guru harus ditingkatkan,0,
6502,Antara News,@antaranews,pemerintah bangun pusat pelatihan vokasi ikn tahun,0,
6503,Tempo.co,@tempodotco,kemendikbudristek gunakan data dapodik targetkan beasiswa,0,
6504,Media Indonesia,@mediaindonesia,mendikbud guru harus menjadi fasilitator sekadar sumber,0,
6505,CNBC Indonesia,@cnbcindonesia,sri mulyani belanja pendidikan april membantu daya membeli tenaga pendidik,0,
6506,Kompas.com,@kompascom,kemendikbudristek sediakan hibah riset dosen perguruan tinggi swasta,0,
6507,Detik.com,@detikcom,nadiem kampus mengajar berdampak literasi sekolah dasar,0,
6508,Republika,@republikaonline,efisiensi integrasi data kurangi tugas administrasi guru,0,
6509,CNN Indonesia,@CNNIndonesia,nadiem implementasi kurikulum merdeka bergantung kepala sekolah,0,
6510,Antara News,@antaranews,pemerintah beri penghargaan guru honorer berdedikasi tinggi,0,
6511,Tempo.co,@tempodotco,kemendikbudristek hemat rp miliar sistem seleksi digital,0,
6512,Media Indonesia,@mediaindonesia,mendikbud pendidikan vokasi harus relevan kebutuhan pasar,0,
6513,CNBC Indonesia,@cnbcindonesia,sri mulyani dana abadi pendidikan membantu anak bangsa kuliah top dunia,0,
6514,Kompas.com,@kompascom,kemendikbudristek umumkan hasil seleksi administrasi ppg,0,
6515,Detik.com,@detikcom,nadiem mahasiswa bebas mengambil mata kuliah lintas prodi,0,
6516,Republika,@republikaonline,efisiensi katalog elektronik sektoral hemat biaya pengadaan lab,0,
6517,CNN Indonesia,@CNNIndonesia,nadiem makarim sekolah dilarang melakukan perundungan bentuk,0,
6518,Antara News,@antaranews,pemerintah salurkan bantuan dana rehab sekolah pasca banjir ntt,0,
6519,Tempo.co,@tempodotco,audit bpk penggunaan dana bos jawa tengah transparan,0,
6520,Media Indonesia,@mediaindonesia,mendikbud kolaborasi kunci kemajuan pendidikan nasional,0,
6521,CNBC Indonesia,@cnbcindonesia,sri mulyani belanja pendidikan semester capai target nasional,0,
6522,Kompas.com,@kompascom,kemendikbudristek beri beasiswa siswa berprestasi internasional,0,
6523,Detik.com,@detikcom,nadiem inovasi pembelajaran guru meningkat pesat pmm,0,
6524,Republika,@republikaonline,efisiensi dashboard monitoring bosp cegah penggunaan dana fiktif,0,
6525,CNN Indonesia,@CNNIndonesia,nadiem universitas harus menjadi inkubator inovasi teknologi,0,
6526,Antara News,@antaranews,pemerintah targetkan sekolah memiliki akses internet tahun,0,
6527,Tempo.co,@tempodotco,kemendikbudristek pangkas jalur birokrasi laporan kinerja guru,0,
6528,Media Indonesia,@mediaindonesia,mendikbud pendidik harus menjadi teladan siswa,0,
6529,Kompas.com,@kompascom,snbt peserta diminta cetak kartu ujian lebaran,0,
6530,Detik.com,@detikcom,nadiem makarim peran orang tua vital merdeka belajar,0,
6531,Antara News,@antaranews,kemendikbudristek salurkan dana tunjangan khusus guru papua,0,
6532,Republika,@republikaonline,efisiensi digitalisasi manajemen guru hemat biaya kertas miliaran,0,
6533,CNN Indonesia,@CNNIndonesia,mendikbudristek sekolah tetap beroperasi normal masa cuti,0,
6534,Tempo.co,@tempodotco,kemendikbudristek gunakan dashboard rapor pendidikan evaluasi,0,
6535,Media Indonesia,@mediaindonesia,mendikbud kurikulum merdeka menghargai keunikan anak,0,
6536,CNBC Indonesia,@cnbcindonesia,sri mulyani dana sertifikasi guru daerah ditransfer,0,
6537,YouTube,@infopendidikan,panduan mengisi evaluasi kinerja guru platform merdeka mengajar,0,
6538,Instagram,@kemdikbud.ri,tips menjaga kesehatan selama libur lebaran siswa guru,0,
6539,LinkedIn,Praktisi Edukasi,dampak positif penggunaan cloud sistem administrasi sekolah,0,
6540,Antara News,@antaranews,kemendiktisaintek mahasiswa magang merdeka mulai presentasi progress,0,
6541,Kompas.com,@kompascom,nadiem makarim vokasi ujung tombak pengurangan pengangguran,0,
6542,Detik.com,@detikcom,audit bpk efisiensi pengadaan buku meningkat signifikan,0,
6543,Republika,@republikaonline,kemendikbudristek hapus aturan laporan fisik efisiensi kerja,0,
6544,CNN Indonesia,@CNNIndonesia,mendikbud sinergi guru orang tua percepat pemulihan belajar,0,
6545,Tempo.co,@tempodotco,kemendikbudristek klaim hemat rp triliun digitalisasi,0,
6546,Media Indonesia,@mediaindonesia,mendikbud lingkungan sekolah harus aman dosa besar,0,
6547,CNBC Indonesia,@cnbcindonesia,sri mulyani dana beasiswa fokus bidang teknologi tinggi,0,
6548,YouTube,@pendidikankita,video kreativitas guru membuat media pembelajaran bahan daur ulang,0,
